Lineage	Most common countries	Earliest date	# designated	# assigned	Description	WHO Name
B.1.1.335	United States of America 78.0%, Germany 20.0%, Canada 2.0%	2020-04-03	16	40	USA and Canada	-
B.1.1.336	Russia 90.0%, Finland 4.0%, Poland 3.0%, Switzerland 1.0%, Italy 1.0%	2020-09-01	13	77	Russian lineage	-
B.1.1.337	United States of America 100.0%, Japan 0.0%	2020-06-27	91	263	US	-
B.1.1.338	Germany 100.0%	2020-12-02	31	58	German lineage	-
B.1.1.339	United_Arab_Emirates 82.0%, United Kingdom 9.0%, Canada 6.0%, Russia 1.0%, Netherlands 1.0%	2020-03-19	88	93	UAE and England	-
B.1.1.340	India 90.0%, United States of America 5.0%, Japan 5.0%	2020-04-06	19	21	Indian Lineage	-
B.1.1.341	United Kingdom 100.0%	2020-09-14	14	15	UK lineage	-
B.1.1.342	United States of America 100.0%	2020-06-16	13	16	USA	-
B.1.1.343	Canada 100.0%	2020-11-09	8	15	Canadian lineage	-
B.1.1.344	United States of America 69.0%, Mexico 29.0%, Australia 1.0%, South_Korea 1.0%	2020-04-09	49	86	Mexico, Texas	-
B.1.1.345	United States of America 86.0%, Indonesia 4.0%, Russia 4.0%, Japan 4.0%, Bahrain 4.0%	2020-11-10	8	28	USA lineage	-
B.1.1.346	Denmark 100.0%	2020-09-21	34	34	Denmark lineage	-
B.1.1.347	Austria 41.0%, Romania 30.0%, Germany 16.0%, United Kingdom 9.0%, Denmark 2.0%	2020-07-14	11	56	Central Europe	-
B.1.1.348	United States of America 37.0%, Chile 23.0%, Peru 19.0%, Colombia 7.0%, Argentina 3.0%	2020-04-30	56	1222	South America & USA	-
B.1.1.349	Russia 48.0%, Finland 35.0%, United Kingdom 5.0%, Estonia 4.0%, Latvia 2.0%	2020-08-04	23	110	"Russia, one ""Congo"""	-
B.1.1.350	Latvia 86.0%, United States of America 7.0%, Hungary 7.0%	2020-03-23	13	14	Latvian lineage	-
B.1.1.351	Finland 33.0%, Canada 18.0%, United States of America 12.0%, India 10.0%, Denmark 6.0%	2020-09-10	57	434	USA, England, Finland, Denmark	-
B.1.1.352	United States of America 100.0%	2020-09-29	8	29	USA lineage	-
B.1.1.353	Reunion 31.0%, India 21.0%, United_Arab_Emirates 19.0%, United Kingdom 7.0%, Germany 3.0%	2020-09-08	13	58	UAE, Israel, Australia	-
B.1.1.354	India 59.0%, Singapore 9.0%, United_Arab_Emirates 7.0%, Malaysia 6.0%, United Kingdom 3.0%	2020-05-19	83	335	Singapore, malaysia, India, UAE, England	-
B.1.1.355	United Kingdom 84.0%, Germany 5.0%, Moldova 3.0%, Denmark 3.0%, Switzerland 2.0%	2020-09-10	49	58	England, Northern Europe	-
B.1.1.356	United States of America 91.0%, Russia 2.0%, Canada 2.0%, Finland 2.0%, Kenya 2.0%	2020-03-19	45	120	Texas	-
B.1.1.357	United States of America 100.0%	2020-07-08	7	8	USA lineage	-
B.1.1.358	United States of America 97.0%, France 3.0%	2020-09-10	10	32	USA	-
B.1.1.359	Ghana 56.0%, Denmark 15.0%, Burkina_Faso 10.0%, Niger 5.0%, Germany 3.0%	2020-07-06	11	39	Ghana and Denmark	-
B.1.1.360	United Kingdom 100.0%	2020-04-03	28	31	Wales	-
B.1.1.361	United Kingdom 100.0%	2020-06-04	14	21	England	-
B.1.1.362	United States of America 94.0%, Mexico 4.0%, Japan 1.0%, Gabon 1.0%	2020-04-25	34	164	USA	-
B.1.1.363	United Kingdom 98.0%, Japan 1.0%, Germany 1.0%, Chile 1.0%, Poland 1.0%	2020-03-30	137	164	Wales	-
B.1.1.364	Russia 53.0%, United Kingdom 24.0%, United States of America 12.0%, Japan 6.0%, South_Korea 6.0%	2020-05-22	12	17	Russia, S Korea, England	-
B.1.1.365	United Kingdom 99.0%, Egypt 1.0%	2020-05-25	94	170	England	-
B.1.1.366	United_Arab_Emirates 93.0%, Kyrgyzstan 2.0%, Slovenia 2.0%, United Kingdom 2.0%, Oman 2.0%	2020-03-16	57	60	UAE	-
B.1.1.367	United States of America 100.0%	2020-05-14	11	16	USA	-
B.1.1.368	United States of America 80.0%, Guatemala 17.0%, Canada 2.0%, South_Korea 0.0%, Australia 0.0%	2020-06-09	66	305	USA and Canada	-
B.1.1.369	United Kingdom 96.0%, Iceland 1.0%, Mexico 1.0%, Japan 0.0%, Canada 0.0%	2020-03-02	1547	2181	England	-
B.1.1.370	United States of America 33.0%, Philippines 22.0%, Russia 22.0%, Japan 12.0%, United Kingdom 3.0%	2020-04-05	21	60	England, USA, Russia, Germany	-
AT.1	Russia 66.0%, Finland 14.0%, Austria 5.0%, Bulgaria 3.0%, Belgium 2.0%	2020-09-17	124	170	Alias of B.1.1.370.1, Russia and Finland lineage from pango-designation issue #47	-
B.1.1.371	United Kingdom 38.0%, Romania 21.0%, Denmark 11.0%, Switzerland 6.0%, France 4.0%	2020-03-07	39	72	Saudi Arabia to Romania to Western Europe, contains B.1.1.161 at the base	-
B.1.1.372	United Kingdom 85.0%, Russia 4.0%, Italy 1.0%, United States of America 1.0%, Switzerland 1.0%	2020-03-08	876	1355	England	-
B.1.1.373	Russia 90.0%, Estonia 3.0%, United Kingdom 3.0%, Hong_Kong 1.0%, Finland 1.0%	2020-08-07	12	67	Russia, split from B.1.1.31	-
B.1.1.374	Latvia 38.0%, Lithuania 23.0%, Finland 14.0%, Germany 12.0%, Poland 5.0%	2020-10-23	15	450	Balkans, Finland	-
B.1.1.375	Turkey 48.0%, Mozambique 42.0%, United Kingdom 4.0%, South_Africa 2.0%, Netherlands 1.0%	2020-05-07	47	144	Mozambique, was C.1.1	-
B.1.1.376	United States of America 96.0%, Japan 2.0%, Italy 1.0%, United_Arab_Emirates 1.0%, Chile 1.0%	2020-05-11	127	171	USA (California)	-
B.1.1.377	Denmark 100.0%	2020-10-19	423	680	Denmark	-
B.1.1.378	Brazil 53.0%, United Kingdom 30.0%, Spain 6.0%, Finland 2.0%, United States of America 2.0%	2020-03-16	43	127	UK and Brazil	-
B.1.1.379	United Kingdom 100.0%	2020-04-05	31	31	Wales	-
B.1.1.380	United States of America 98.0%, United Kingdom 2.0%	2020-06-12	80	101	USA	-
B.1.1.381	Peru 67.0%, Chile 25.0%, United States of America 8.0%	2020-05-04	7	24	Peruvian	-
B.1.1.382	South_Africa 96.0%, Brazil 4.0%	2020-04-19	14	27	South African lineage	-
B.1.1.383	South_Africa 94.0%, Australia 6.0%	2020-04-29	16	16	South African	-
B.1.1.384	Switzerland 71.0%, Germany 29.0%	2020-12-28	25	41	Swiss Lineage	-
B.1.1.385	Germany 86.0%, France 8.0%, Switzerland 3.0%, Croatia 1.0%, Denmark 1.0%	2020-09-11	18	277	German Lineage	-
B.1.1.386	South_Africa 94.0%, United Kingdom 6.0%	2020-05-30	12	18	South African lineage	-
B.1.1.387	Russia 92.0%, United States of America 8.0%	2020-08-04	12	13	South African lineage	-
B.1.1.388	Colombia 75.0%, Spain 12.0%, Ecuador 12.0%	2020-04-26	5	8	Columbian lineage	-
B.1.1.389	Costa_Rica 85.0%, United States of America 6.0%, Spain 5.0%, Finland 2.0%, Nicaragua 1.0%	2020-06-01	87	164	Costa Rica lineage	-
B.1.1.391	United_Arab_Emirates 84.0%, United States of America 5.0%, Russia 3.0%, Oman 2.0%, United Kingdom 2.0%	2020-03-30	114	131	UAE lineage	-
B.1.1.392	United States of America 100.0%	2020-09-16	17	19	USA lineage	-
B.1.1.393	Brazil 62.0%, Singapore 25.0%, United States of America 12.0%	2020-11-04	4	8	Brazilian lineage	-
B.1.1.394	Portugal 100.0%	2020-06-21	37	38	Portugal lineage	-
B.1.1.395	United Kingdom 100.0%	2020-04-27	18	18	UK lineage, previously part of B.1.1.279	-
B.1.1.396	Russia 77.0%, Japan 8.0%, Sweden 8.0%, Thailand 8.0%	2020-07-25	6	13	Russian lineage, some previously B.1.1.184	-
B.1.1.397	Russia 48.0%, Estonia 13.0%, Latvia 11.0%, Israel 7.0%, Finland 4.0%	2020-08-17	84	455	Predominantly Russia, includes some previous B.1.1.67 and H.1 sequences	-
B.1.1.398	Indonesia 71.0%, United States of America 12.0%, Russia 3.0%, Japan 3.0%, Singapore 2.0%	2020-03-19	95	335	USA/ Indonesian lineage	-
B.1.1.399	Ireland 90.0%, Canada 10.0%	2020-04-15	8	10	Irish lineage	-
B.1.1.400	Spain 100.0%	2020-04-07	5	14	Spain lineage	-
B.1.1.401	Portugal 100.0%	2020-06-01	15	15	Portugal lineage	-
B.1.1.402	United States of America 94.0%, China 2.0%, Brazil 1.0%, Colombia 1.0%, India 1.0%	2020-05-12	44	88	USA (Texas), split from B.1.1.177	-
B.1.1.403	United States of America 97.0%, Mexico 3.0%	2020-09-03	9	32	USA	-
B.1.1.404	Burkina_Faso 62.0%, Germany 16.0%, Italy 7.0%, Ghana 5.0%, Togo 3.0%	2020-05-25	20	61	Ghana, Burkina Faso, Luxembourg, Germany	-
B.1.1.405	Germany 86.0%, Russia 14.0%	2020-09-14	11	14	Germany lineage	-
AC.1	United Kingdom 96.0%, Germany 4.0%	2020-10-10	17	24	Alias of B.1.1.405.1, UK lineage	-
B.1.1.406	United Kingdom 55.0%, Spain 22.0%, Germany 9.0%, Madagascar 5.0%, Switzerland 3.0%	2020-03-25	93	150	Spain, UK, Italy	-
B.1.1.407	Russia 96.0%, Indonesia 1.0%, Germany 1.0%, Finland 1.0%	2020-06-09	12	72	Mostly Russia	-
B.1.1.408	United Kingdom 100.0%	2020-07-11	23	17	UK lineage	-
B.1.1.409	Italy 14.0%, Russia 13.0%, United_Arab_Emirates 13.0%, United States of America 9.0%, Argentina 8.0%	2020-03-17	41	207	UAE, Israel, Saudi Arabia	-
B.1.1.410	Portugal 64.0%, Russia 7.0%, United States of America 7.0%, United Kingdom 7.0%, Poland 4.0%	2020-05-19	21	28	Portugal lineage	-
B.1.1.411	United States of America 44.0%, Botswana 18.0%, Ecuador 15.0%, Senegal 4.0%, Brazil 4.0%	2020-03-22	20	89	Ecuador and US	-
B.1.1.412	South_Africa 98.0%, New_Zealand 1.0%, Malawi 1.0%, Australia 1.0%	2020-06-18	126	131	South African lineage	-
B.1.1.413	Iran 27.0%, United Kingdom 24.0%, Germany 24.0%, Turkey 9.0%, United States of America 5.0%	2020-09-07	39	136	Europe, Turkey, Iran	-
B.1.1.414	India 100.0%	2020-07-14	7	7	Indian lineage	-
B.1.1.415	Austria 95.0%, Azerbaijan 5.0%	2020-10-21	20	21	Austrian lineage	-
B.1.1.416	United States of America 95.0%, Australia 3.0%, Romania 1.0%, Canada 0.0%, Japan 0.0%	2020-03-19	272	1222	USA lineage	-
B.1.1.417	Canada 97.0%, United States of America 1.0%, United Kingdom 1.0%, Senegal 1.0%, Turkey 1.0%	2020-06-23	64	175	Canada lineage	-
B.1.1.418	United States of America 80.0%, Japan 12.0%, South_Africa 5.0%, Italy 2.0%, Australia 2.0%	2020-08-06	21	65	USA lineage	-
B.1.1.419	United Kingdom 73.0%, Turkey 11.0%, Indonesia 5.0%, United States of America 3.0%, India 3.0%	2020-03-14	69	112	UK lineage, includes some formally B.1.1.193 sequences	-
B.1.1.420	Senegal 17.0%, Italy 16.0%, Spain 16.0%, Luxembourg 12.0%, United States of America 8.0%	2020-10-01	47	1046	Western Europe, USA	-
B.1.1.421	Portugal 76.0%, United Kingdom 14.0%, United States of America 7.0%, Switzerland 3.0%	2020-05-28	27	29	Portuguese lineage	-
B.1.1.422	Mexico 50.0%, Lithuania 35.0%, Senegal 5.0%, Poland 5.0%, Belarus 5.0%	2020-10-26	7	20	Lithuanian lineage	-
B.1.1.423	United States of America 100.0%	2020-05-19	14	16	USA lineage	-
B.1.1.424	Russia 91.0%, India 6.0%, Norway 3.0%	2020-04-05	11	34	Russia lineage, contains some formally B.1.1.167 sequences	-
B.1.1.425	Denmark 52.0%, United Kingdom 38.0%, Germany 5.0%, India 5.0%	2020-08-25	18	21	England and Denmark	-
B.1.1.426	United States of America 96.0%, Japan 4.0%	2020-04-21	16	23	USA lineage	-
B.1.1.427	Russia 100.0%	2020-07-25	6	7	Russian Lineage	-
B.1.1.428	Switzerland 34.0%, Germany 30.0%, Denmark 11.0%, Sweden 10.0%, Macedonia 8.0%	2020-10-26	32	106	Switzerland and North Macedonia	-
B.1.1.429	Latvia 86.0%, Estonia 10.0%, Denmark 1.0%, Finland 1.0%, Belgium 0.0%	2020-09-15	22	210	Latvia and Finland	-
B.1.1.430	Macedonia 65.0%, Norway 25.0%, Switzerland 5.0%, Germany 5.0%	2020-06-11	14	20	North Macedonia	-
B.1.1.431	Canada 75.0%, Australia 7.0%, United States of America 4.0%, Germany 4.0%, Colombia 2.0%	2020-06-23	47	56	Australia and Canada	-
B.1.1.432	United States of America 84.0%, Mexico 13.0%, Germany 1.0%, Canada 1.0%, Norway 0.0%	2020-04-24	173	772	US and Mexico	-
B.1.1.433	Denmark 83.0%, Slovenia 6.0%, Croatia 3.0%, Switzerland 2.0%, Germany 2.0%	2020-08-09	399	692	Denmark and Switzerland, some B.1.1.281	-
B.1.1.434	United States of America 92.0%, United Kingdom 5.0%, Canada 1.0%, Israel 0.0%, Puerto_Rico 0.0%	2020-06-01	964	2693	Mostly US lineage with some UK and Canada (was B.1.1.304)	-
B.1.1.435	Russia 93.0%, Luxembourg 3.0%, Finland 3.0%	2020-09-26	10	30	Russian	-
B.1.1.436	Belgium 100.0%	2020-03-23	38	39	Belgium lineage	-
B.1.1.437	United States of America 96.0%, Belarus 3.0%, Russia 1.0%	2020-06-08	25	96	USA lineage	-
B.1.1.438	Sweden 85.0%, United Kingdom 5.0%, United States of America 5.0%, Bosnia_and_Herzegovina 5.0%	2020-03-12	18	20	Swedish lineage	-
B.1.1.440	United States of America 98.0%, Northern_Mariana_Islands 2.0%	2020-05-09	37	85	US and Mexico	-
B.1.1.441	United States of America 95.0%, Morocco 5.0%	2020-06-26	19	20	USA lineage	-
B.1.1.442	Argentina 78.0%, Turkey 7.0%, United States of America 5.0%, Germany 5.0%, United Kingdom 3.0%	2020-05-13	37	58	Argentinian	-
B.1.1.444	South_Africa 71.0%, Finland 29.0%	2020-07-27	5	7	South African (was B.1.1.117)	-
B.1.1.445	Switzerland 100.0%	2020-12-14	17	24	Switzerland lineage	-
B.1.1.446	Sweden 43.0%, Estonia 36.0%, Russia 14.0%, Greece 7.0%	2020-08-15	5	14	Sweden lineage	-
B.1.1.447	United States of America 74.0%, Poland 19.0%, Iceland 7.0%	2020-05-05	15	27	USA lineage	-
B.1.1.448	South_Africa 95.0%, Zambia 2.0%, Mozambique 1.0%, Malawi 1.0%, Pakistan 0.0%	2020-05-04	311	419	South African (was B.1.1.54)	-
B.1.1.449	France 68.0%, Russia 21.0%, Peru 9.0%, Germany 3.0%	2020-08-19	7	34	Russia lineage	-
B.1.1.450	United States of America 100.0%	2020-11-20	23	27	USA lineage	-
B.1.1.451	Norway 100.0%	2020-10-10	9	26	Norway lineage	-
B.1.1.452	Russia 62.0%, Japan 15.0%, India 15.0%, Latvia 8.0%	2020-09-10	6	13	Russia lineage	-
B.1.1.453	United States of America 97.0%, Canada 1.0%, Russia 1.0%, Mexico 1.0%	2020-08-05	68	114	US	-
B.1.1.456	South_Africa 100.0%	2020-06-18	18	18	South African	-
B.1.1.458	Sweden 45.0%, Germany 32.0%, Switzerland 9.0%, Denmark 5.0%, Turkey 5.0%	2020-05-14	11	22	Swedish lineage	-
B.1.1.459	South_Africa 93.0%, Zimbabwe 7.0%	2020-04-04	30	58	South African lineage (some were part of Belgian lineage B.1.1.75	-
B.1.1.461	United States of America 97.0%, Italy 1.0%, Canada 1.0%	2020-03-20	39	77	US TX lineage	-
B.1.1.462	United_Arab_Emirates 86.0%, Belarus 2.0%, Latvia 2.0%, Russia 1.0%, Brazil 1.0%	2020-03-25	93	105	United Arab Emirates	-
B.1.1.463	United States of America 94.0%, Israel 6.0%	2020-05-11	16	17	US CA lineage	-
B.1.1.464	United States of America 95.0%, Switzerland 1.0%, Greece 1.0%, India 0.0%, South_Africa 0.0%	2020-04-01	421	687	US lineage	-
AW.1	Canada 99.0%, United States of America 1.0%	2020-10-12	144	292	Alias of B.1.1.464.1, Canadian lineage	-
B.1.1.465	Japan 100.0%	2020-04-21	5	64	Japanese lineage	-
B.1.1.466	Gambia 100.0%	2020-07-21	42	42	Gambian lineage	-
B.1.1.467	United States of America 91.0%, Puerto_Rico 9.0%	2020-10-08	20	47	US lineage (NY)	-
B.1.1.480	United States of America 100.0%	2020-04-13	22	34	US Lineage	-
B.1.1.481	Russia 94.0%, United States of America 6.0%	2020-07-27	11	16	Russian Lineage	-
B.1.1.482	Japan 49.0%, United States of America 43.0%, India 4.0%, France 2.0%, United Kingdom 2.0%	2020-03-02	20	53	US Lineage	-
AV.1	United Kingdom 94.0%, France 3.0%, Senegal 2.0%, Benin 1.0%	2020-05-12	12	159	Alias of B.1.1.482.1, UK and France lineage with several VOC/VUI-like mutations, from pango-designation issue #73	-
B.1.1.483	Belgium 100.0%	2020-12-06	24	24	Belgian lineage	-
B.1.1.484	Nigeria 100.0%	2020-05-31	6	6	Nigerian Lineage	-
B.1.1.485	Ghana 28.0%, Peru 18.0%, United States of America 14.0%, Japan 14.0%, India 5.0%	2020-03-20	22	80	Ghanan Lineage	-
B.1.1.486	United States of America 97.0%, Puerto_Rico 1.0%, Japan 1.0%, Singapore 0.0%, Canada 0.0%	2020-05-26	149	575	US Lineage	-
B.1.1.487	Nigeria 36.0%, United Kingdom 33.0%, Spain 9.0%, Canada 6.0%, United States of America 5.0%	2020-03-22	69	129	UK and Nigerian Lineage	-
B.1.1.500	United_Arab_Emirates 76.0%, United Kingdom 9.0%, Peru 4.0%, United States of America 2.0%, Russia 2.0%	2020-04-10	38	46	UAE lineage	-
B.1.1.506	Russia 88.0%, Germany 4.0%, Indonesia 4.0%, New_Zealand 4.0%	2020-05-14	22	25	Mainly Russian	-
B.1.1.507	South_Africa 92.0%, Turkey 8.0%	2020-09-07	19	38	South African Lineage (was B.1.1.254)	-
B.1.1.512	United States of America 84.0%, Mexico 16.0%	2020-07-21	18	38	US/Mexico	-
B.1.1.513	United States of America 100.0%	2020-03-16	81	81	US lineage (NY)	-
B.1.1.514	United States of America 79.0%, Japan 4.0%, Russia 4.0%, Italy 4.0%, France 4.0%	2020-04-21	16	24	US lineage	-
B.1.1.515	Germany 82.0%, Italy 11.0%, United States of America 4.0%, Taiwan 2.0%, Russia 2.0%	2020-03-16	35	56	German lineage	-
B.1.1.516	Costa_Rica 61.0%, Nicaragua 39.0%	2020-04-14	8	23	Costa Rica lineage	-
B.1.1.517	United States of America 94.0%, Mexico 6.0%, Japan 1.0%	2020-12-02	22	156	USA lineage	-
B.1.1.518	United States of America 88.0%, Mexico 11.0%, Canada 1.0%	2020-06-05	49	164	USA/ Mexico lineage	-
B.1.1.519	United States of America 59.0%, Mexico 32.0%, Canada 6.0%, Germany 1.0%, Denmark 1.0%	2020-07-31	487	24459	USA/ Mexico lineage	-
B.1.1.521	Germany 38.0%, Turkey 17.0%, Switzerland 14.0%, United Kingdom 9.0%, Denmark 9.0%	2020-05-15	95	191	European lineage	-
B.1.1.522	Belgium 91.0%, Netherlands 4.0%, Canada 2.0%, Japan 2.0%, France 2.0%	2020-04-22	45	56	Belgium lineage	-
B.1.1.523	Russia 58.0%, Germany 17.0%, United States of America 4.0%, United Kingdom 2.0%, Switzerland 2.0%	2020-07-13	73	607	Lineage in multiple countries, predominantly Russia, from pango-designation issue #69	-
B.1.1.524	United States of America 41.0%, Russia 29.0%, Germany 4.0%, Finland 4.0%, Switzerland 4.0%	2020-10-22	31	111	Predominantly Russia lineage, from pango-designation issue #85	-
B.1.1.525	Russia 50.0%, Japan 13.0%, United States of America 11.0%, Turkey 6.0%, France 6.0%	2020-12-12	79	177	Predominantly Russia lineage, from pango-designation issue #85	-
B.1.1.526	India 68.0%, United States of America 23.0%, Mexico 8.0%, Switzerland 1.0%, Germany 1.0%	2020-08-31	122	199	India lineage, from pango-designation issue #91, previously designated B.1.624	-
B.1.1.528	South_Africa 87.0%, United States of America 7.0%, Belgium 3.0%, Chile 1.0%, Mozambique 1.0%	2020-12-07	70	157	South Africa lineage, from pango-designation issue #177	-
B.1.1.529	-	-	0	0	South Africa and Botswana lineage, from pango-designation issue #343	-
BA.1	United Kingdom 42.0%, United States of America 27.0%, Germany 4.0%, Denmark 4.0%, Canada 2.0%	2021-09-10	124	881373	Alias of B.1.1.529.1, from pango-designation issue #361	-
BA.1.1	United States of America 43.0%, United Kingdom 26.0%, Germany 5.0%, Japan 5.0%, France 3.0%	2021-09-13	391	702084	Alias of B.1.1.529.1.1, from pango-designation issue #360	-
BA.1.1.1	-	-	6023	0	Alias of B.1.1.529.1.1.1, European lineage	-
BA.1.1.2	-	-	6247	0	Alias of B.1.1.529.1.1.2, Japan lineage	-
BA.1.1.3	-	-	291	0	Alias of B.1.1.529.1.1.3, Switzerland lineage	-
BA.1.1.4	-	-	792	0	Alias of B.1.1.529.1.1.4, UK lineage	-
BA.1.1.5	-	-	106	0	Alias of B.1.1.529.1.1.5, South Korea lineage	-
BA.1.1.6	-	-	353	0	Alias of B.1.1.529.1.1.6, Canada lineage	-
BA.1.1.7	-	-	233	0	Alias of B.1.1.529.1.1.7, lineage in India and other countries	-
BA.1.1.8	-	-	381	0	Alias of B.1.1.529.1.1.8, USA lineage	-
BA.1.1.9	-	-	228	0	Alias of B.1.1.529.1.1.9, New Zealand lineage	-
BA.1.1.10	-	-	1146	0	Alias of B.1.1.529.1.1.10, Canada lineage	-
BA.1.1.11	-	-	1994	0	Alias of B.1.1.529.1.1.11, European lineage	-
BA.1.1.12	-	-	1929	0	Alias of B.1.1.529.1.1.12, UK lineage	-
BA.1.1.13	-	-	4148	0	Alias of B.1.1.529.1.1.13, UK lineage	-
BA.1.1.14	-	-	6394	0	Alias of B.1.1.529.1.1.14, European lineage	-
BA.1.1.15	-	-	6339	0	Alias of B.1.1.529.1.1.15, Europe and Australia lineage	-
BA.1.1.16	-	-	1020	0	Alias of B.1.1.529.1.1.16, Canada and USA lineage	-
BA.1.2	-	-	61	0	Alias of B.1.1.529.1.2, Mayotte and Reunion lineage	-
BA.1.3	-	-	198	0	Alias of B.1.1.529.1.3, Canada lineage	-
BA.1.4	-	-	183	0	Alias of B.1.1.529.1.4, France lineage	-
BA.1.5	-	-	191	0	Alias of B.1.1.529.1.5, UK lineage	-
BA.1.6	-	-	253	0	Alias of B.1.1.529.1.6, Canada and Sint Maarten lineage	-
BA.1.7	-	-	473	0	Alias of B.1.1.529.1.7, UK lineage	-
BA.1.8	-	-	354	0	Alias of B.1.1.529.1.8, European lineage	-
BA.1.9	-	-	309	0	Alias of B.1.1.529.1.9, Brazil lineage	-
BA.1.10	-	-	1252	0	Alias of B.1.1.529.1.10, UK lineage	-
BA.1.12	-	-	1862	0	Alias of B.1.1.529.1.12, UK lineage	-
BA.1.13	-	-	1520	0	Alias of B.1.1.529.1.13, European lineage	-
BA.1.13.1	-	-	1536	0	Alias of B.1.1.529.1.13.1, Indonesia lineage	-
BA.1.14	-	-	4538	0	Alias of B.1.1.529.1.14, lineage in Brazil and other countries	-
BA.1.15	-	-	35933	0	Alias of B.1.1.529.1.15, lineage in USA and other countries	-
BA.1.15.1	-	-	20040	0	Alias of B.1.1.529.1.15.1, UK lineage	-
BA.1.16	-	-	7687	0	Alias of B.1.1.529.1.16, UK lineage	-
BA.1.16.1	-	-	63	0	Alias of B.1.1.529.1.16.1, Thailand, Cambodia and Indonesia lineage	-
BA.1.17	-	-	8434	0	Alias of B.1.1.529.1.17, European lineage	-
BA.1.17.1	-	-	309	0	Alias of B.1.1.529.1.17.1, Australia lineage	-
BA.2	United Kingdom 37.0%, Denmark 34.0%, India 6.0%, Germany 5.0%, Sweden 4.0%	2021-11-17	14	218147	Alias of B.1.1.529.2, from pango-designation issue #361	-
BA.2.1	-	-	532	0	Alias of B.1.1.529.2.1, UK lineage	-
BA.2.2	-	-	68	0	Alias of B.1.1.529.2.2, Hong Kong lineage	-
BA.2.3	-	-	1938	0	Alias of B.1.1.529.2.3, lineage in Philippines and other countries	-
BA.3	Poland 70.0%, South_Africa 12.0%, United Kingdom 5.0%, Germany 3.0%, Denmark 2.0%	2021-11-23	5	527	Alias of B.1.1.529.3, from pango-designation issue #367	-
BB.2	United States of America 87.0%, Colombia 6.0%, Canada 3.0%, Mexico 1.0%, Spain 1.0%	2021-03-21	238	419	Alias of B.1.621.1.2, from pango-designation issue #232	-
B.1.2	United States of America 94.0%, Canada 4.0%, Mexico 0.0%, Germany 0.0%, Denmark 0.0%	2020-01-21	22388	115993	USA	-
B.1.3	United States of America 99.0%, Canada 1.0%	2020-04-18	216	380	USA lineage	-
B.1.6	Belgium 70.0%, Democratic Republic of the Congo 12.0%, France 9.0%, United Kingdom 4.0%, Australia 2.0%	2020-03-05	51	56	Belgian lineage	-
B.1.8	Netherlands 46.0%, United States of America 11.0%, Germany 9.0%, South_Africa 8.0%, Austria 4.0%	2020-03-04	359	410	Netherland, South Africa, Denmark, USA	-
B.1.12	Belgium 33.0%, United Kingdom 26.0%, Luxembourg 25.0%, France 7.0%, United States of America 5.0%	2020-03-04	99	114	Luxembourg lineage (also England, Belgium etc.)	-
B.1.13	United Kingdom 86.0%, Australia 4.0%, France 3.0%, Iceland 1.0%, Canada 1.0%	2020-03-09	305	407	UK lineage	-
B.1.14	United States of America 100.0%	2020-03-16	53	55	USA lineage (CA)	-
B.1.22	Netherlands 79.0%, Germany 5.0%, United Kingdom 3.0%, Hungary 2.0%, Australia 2.0%	2020-03-05	591	648	Netherlands lineage	-
B.1.22.1	Curaçao 85.0%, Sint_Eustatius 10.0%, Netherlands 5.0%	2020-09-07	31	39	Curacao	-
B.1.23	Australia 79.0%, New_Zealand 16.0%, Turkey 3.0%, Portugal 1.0%, Venezuela 1.0%	2020-03-18	137	148	New Zealand / Australia	-
B.1.35	United Kingdom 100.0%	2020-03-20	118	118	Wales lineage	-
B.1.36	India 30.0%, Canada 28.0%, Hong_Kong 14.0%, United Kingdom 6.0%, Denmark 4.0%	2020-02-16	1696	6494	Global many subliniages (see below)	-
B.1.36.1	Sweden 27.0%, Switzerland 27.0%, Germany 10.0%, Norway 7.0%, United Kingdom 7.0%	2020-01-10	260	853	European/Denmark	-
B.1.36.2	United Kingdom 95.0%, Indonesia 5.0%	2020-06-30	65	88	UK	-
B.1.36.7	Canada 51.0%, United Kingdom 35.0%, Iran 8.0%, Turkey 3.0%, United States of America 2.0%	2020-08-17	63	297	UK (reasigned from Oman lineage)	-
B.1.36.8	India 55.0%, Canada 18.0%, United States of America 9.0%, Denmark 7.0%, Bangladesh 3.0%	2020-04-11	495	887	Prodominantly Indian lineage with global records (inc. Canada)	-
B.1.36.9	United Kingdom 82.0%, Sweden 8.0%, Denmark 6.0%, India 1.0%, Canada 1.0%	2020-04-21	197	310	UK	-
B.1.36.10	Jordan 42.0%, Saudi_Arabia 20.0%, United States of America 11.0%, India 10.0%, Turkey 9.0%	2020-04-24	111	157	Jordan/Saudi Arbia (single recent record from USA)	-
B.1.36.12	United Kingdom 98.0%, India 1.0%, Poland 1.0%	2020-06-12	87	107	England	-
B.1.36.16	Thailand 56.0%, Malaysia 12.0%, United Kingdom 10.0%, Bangladesh 7.0%, Spain 4.0%	2020-05-03	262	650	SE Asia	-
B.1.36.17	United Kingdom 95.0%, India 2.0%, Switzerland 1.0%, Canada 0.0%, Denmark 0.0%	2020-07-16	1267	1944	UK lineage	-
B.1.36.18	Canada 96.0%, India 3.0%, New_Zealand 1.0%, Hong_Kong 0.0%, United States of America 0.0%	2020-06-05	369	1654	Canadian lineage	-
